gap_group,frac,n,adqa_fail_rate,ensemble_fail_rate,clip_fail_rate,adqa_ensemble_full_order_agreement,clip_ensemble_full_order_agreement
low,0.1,6,0.16666666666666666,0,0.3333333333333333,0.8333333333333334,0.6666666666666666
high,0.1,6,0,0,0.16666666666666666,1,0.8333333333333334
low,0.2,12,0.08333333333333333,0,0.25,0.9166666666666666,0.75
high,0.2,12,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.9166666666666666,0.75
low,0.25,15,0.06666666666666667,0,0.4,0.9333333333333333,0.6
high,0.25,15,0.2,0.13333333333333333,0.4,0.9333333333333333,0.7333333333333333
low,0.3333333333333333,20,0.05,0,0.35,0.95,0.65
high,0.3333333333333333,20,0.25,0.1,0.35,0.85,0.75
low,0.5,30,0.06666666666666667,0,0.23333333333333334,0.9333333333333333,0.7666666666666667
high,0.5,30,0.26666666666666666,0.06666666666666667,0.43333333333333335,0.8,0.6333333333333333
